,Scheme,Category,Type,Benchmark,Net_Asset_Value(Rs.),CAGR% 6 Months,CAGR% 1 Year,CAGR% 3 Year,Min. Invest(Rs.),Exp. Ratio(%),SIP Min. Inv.(Rs.)
1881,Quantum India ESG Equity Fund-Reg(G), Equity - Thematic Fund - Other, Open ended, NIFTY100 ESG - TRI, 16.74,1.15,15.73,-,"1,000.00",1.73,"1,000.00"
1882,Baroda BNP Paribas Money Market Fund-Reg(M-IDCW), Debt - Money Market Fund, Open ended, CRISIL Money Market Index," 1,008.83",5.50,4.49,3.67,"5,000.00",0.39,"1,000.00"
1883,Aditya Birla SL Pharma & Healthcare Fund-Reg(IDCW), Equity - Sectoral Fund - Pharma & Health Care, Open ended, S&P BSE Health Care - TRI, 13.46,-6.43,12.88,-,"1,000.00",2.55,"1,000.00"
1884,Mahindra Manulife Top 250 Nivesh Yojana-Reg(G), Equity - Large & Mid Cap Fund, Open ended, NIFTY LargeMidcap 250 - TRI, 16.93,-0.08,18.27,-,"1,000.00",2.34,"1,000.00"
1885,Indiabulls Overnight Fund-Reg(DD-IDCW), Debt - Overnight Fund, Open ended, CRISIL Overnight Index," 1,001.01",4.50,3.48,-,"1,000.00",0.23,"1,000.00"
1886,Indiabulls Overnight Fund-Reg(W-IDCW), Debt - Overnight Fund, Open ended, CRISIL Overnight Index," 1,001.39",4.79,3.50,-,"1,000.00",0.23,"1,000.00"
1887,Indiabulls Overnight Fund-Reg(FN-IDCW), Debt - Overnight Fund, Open ended, CRISIL Overnight Index," 1,001.87",4.81,3.50,-,"1,000.00",0.23,"1,000.00"
1888,Indiabulls Overnight Fund-Reg(M-IDCW), Debt - Overnight Fund, Open ended, CRISIL Overnight Index," 1,003.94",4.80,3.58,-,"1,000.00",0.23,"1,000.00"
1889,Kotak Pioneer Fund-Reg(G), Equity - Thematic Fund - Other, Open ended, N/A, 17.92,0.39,18.94,-,"5,000.00",2,"1,000.00"
1890,Mirae Asset Midcap Fund-Reg(IDCW), Equity - Mid Cap Fund, Open ended, Nifty Midcap 150 - TRI, 17.62,2.77,21.51,-,"5,000.00",1.81,"1,000.00"
1891,Kotak Focused Equity Fund-Reg(G), Equity - Focused Fund, Open ended, NIFTY 500 - TRI, 16.63,0.53,13.95,-,"5,000.00",2.05,"1,000.00"
1892,Kotak Focused Equity Fund-Reg(IDCW), Equity - Focused Fund, Open ended, NIFTY 500 - TRI, 16.63,0.53,13.95,-,"5,000.00",2.05,"1,000.00"
1893,Mahindra Manulife Hybrid Equity Nivesh Yojana-Reg(G), Hybrid - Aggressive Hybrid Fund, Open ended, CRISIL Hybrid 35+65 - Aggressive Index, 17.41,3.31,15.30,-,"1,000.00",2.55,"1,000.00"
1894,Mahindra Manulife Hybrid Equity Nivesh Yojana-Reg(IDCW), Hybrid - Aggressive Hybrid Fund, Open ended, CRISIL Hybrid 35+65 - Aggressive Index, 15.16,3.35,15.33,-,"1,000.00",2.55,"1,000.00"
1895,Union Focused Fund-Reg(IDCW), Equity - Focused Fund, Open ended, S&P BSE 500 - TRI, 17.86,0.11,15.49,-,"1,000.00",2.59,"1,000.00"
1896,Baroda BNP Paribas Equity Savings Fund-Reg(IDCW), Hybrid - Equity Savings, Open ended, NIFTY 50 Equity Savings Index - TRI, 12.02,3.77,6.87,-,"5,000.00",2.52,"1,000.00"
1897,Mirae Asset Overnight Fund-Reg(G), Debt - Overnight Fund, Open ended, Nifty 1D Rate Index," 1,136.83",4.99,3.80,-,"5,000.00",0.21,"1,000.00"
1898,ITI Long Term Equity Fund-Reg(G), Equity - ELSS, Open ended, NIFTY 500 - TRI, 14.17,3.53,9.88,-,"1,000.00",2.44,"1,000.00"
1899,ITI Long Term Equity Fund-Reg(IDCW), Equity - ELSS, Open ended, NIFTY 500 - TRI, 13.55,3.53,9.88,-,"1,000.00",2.44,"1,000.00"
1900,LIC MF Overnight Fund-Reg(DD-IDCW), Debt - Overnight Fund, Open ended, Nifty 1D Rate Index," 1,044.66",-,3.17,-,"5,000.00",0.2,"1,000.00"
1901,LIC MF Overnight Fund-Reg(W-IDCW), Debt - Overnight Fund, Open ended, Nifty 1D Rate Index," 1,045.94",4.93,-,-,"5,000.00",0.2,"1,000.00"
1902,Canara Rob Overnight Fund-Reg(DD-IDCW), Debt - Overnight Fund, Open ended, CRISIL Overnight Index," 1,001.00",5.03,3.76,-,"5,000.00",Nil,N/A
1903,Edelweiss Overnight Fund-Reg(DD-IDCW), Debt - Overnight Fund, Open ended, Nifty 1D Rate Index," 1,008.11",4.93,3.74,-,"5,000.00",0.16,"1,000.00"
1904,Edelweiss Overnight Fund-Reg(W-IDCW), Debt - Overnight Fund, Open ended, Nifty 1D Rate Index," 1,016.12",4.96,3.74,-,"5,000.00",0.16,"1,000.00"
1905,Edelweiss Overnight Fund-Reg(FN-IDCW), Debt - Overnight Fund, Open ended, Nifty 1D Rate Index," 1,095.38",4.94,-,-,"5,000.00",0.16,"1,000.00"
1906,Edelweiss Overnight Fund-Reg(M-IDCW), Debt - Overnight Fund, Open ended, Nifty 1D Rate Index," 1,007.17",4.93,3.71,-,"5,000.00",0.16,"1,000.00"
1907,Edelweiss Overnight Fund-Reg(A-IDCW), Debt - Overnight Fund, Open ended, Nifty 1D Rate Index," 1,150.32",4.93,-,-,"5,000.00",0.16,"1,000.00"
1908,Mahindra Manulife Overnight Fund-Reg(DD-IDCW), Debt - Overnight Fund, Open ended, CRISIL Overnight Index," 1,074.12",5.46,4.83,-,"1,000.00",Nil,N/A
1909,LIC MF Ultra Short Term Fund-Reg(G), Debt - Ultra Short Duration Fund, Open ended, CRISIL Ultra Short Term Debt Index," 1,135.46",5.37,4.52,3.87,"5,000.00",0.4,"1,000.00"
1910,Nippon India Asset Allocator FoF-Reg(G), FoFs (Domestic) - Debt Oriented, Open ended, CRISIL Hybrid 50+50 - Moderate Index, 13.15,7.57,-,-,"5,000.00",1.43,"1,000.00"
1911,SBI CPO Fund-A-5-Reg(G), Capital Protection, Close ended, CRISIL Hybrid 85+15 - Conservative Index, 12.77,3.08,6.59,-,"5,000.00",,N/A
1912,Axis Money Market Fund-Reg(DD-IDCW), Debt - Money Market Fund, Open ended, Nifty Money Market Index," 1,005.61",6.05,5.12,4.78,"5,000.00",0.36,"1,000.00"
1913,Axis Money Market Fund-Reg(M-IDCW), Debt - Money Market Fund, Open ended, Nifty Money Market Index," 1,009.62",6.05,5.12,4.87,"5,000.00",0.36,"1,000.00"
1914,Axis Money Market Fund-Reg(Q-IDCW), Debt - Money Market Fund, Open ended, Nifty Money Market Index," 1,051.39",6.05,5.12,4.83,"5,000.00",0.36,"1,000.00"
1915,Axis Money Market Fund-Reg(A-IDCW), Debt - Money Market Fund, Open ended, Nifty Money Market Index," 1,157.71",6.05,5.12,4.92,"5,000.00",0.36,"1,000.00"
1916,ICICI Pru ESG Fund(G), Equity - Thematic Fund - Other, Open ended, NIFTY100 ESG - TRI, 13.58,4.96,-,-,"5,000.00",2.18,"1,000.00"
1917,PGIM India Overnight Fund-Reg(DD-IDCW), Debt - Overnight Fund, Open ended, Nifty 1D Rate Index," 1,000.00",5.00,3.84,-,"5,000.00",0.26,"1,000.00"
1918,PGIM India Overnight Fund-Reg(W-IDCW), Debt - Overnight Fund, Open ended, Nifty 1D Rate Index," 1,000.99",4.96,3.84,-,"5,000.00",0.26,"1,000.00"
1919,ITI Arbitrage Fund-Reg(G), Hybrid - Arbitrage Fund, Open ended, Nifty 50 Arbitrage, 11.04,2.68,2.58,-,"5,000.00",0.97,"1,000.00"
1920,ITI Arbitrage Fund-Reg(IDCW), Hybrid - Arbitrage Fund, Open ended, Nifty 50 Arbitrage, 11.04,2.68,2.58,-,"5,000.00",0.97,"1,000.00"
1921,ICICI Pru Business Cycle Fund(G), Equity - Thematic Fund - Other, Open ended, NIFTY 500 - TRI, 13.98,6.98,-,-,"5,000.00",1.91,"1,000.00"
1922,Kotak ESG Opportunities Fund-Reg(G), Equity - Thematic Fund - Other, Open ended, NIFTY100 ESG - TRI, 11.87,-1.51,-,-,"5,000.00",2.14,"1,000.00"
1923,Tata Focused Equity Fund-Reg(G), Equity - Focused Fund, Open ended, NIFTY 500 - TRI, 15.39,2.60,14.77,-,"5,000.00",1.99,"1,000.00"
1924,Baroda BNP Paribas Banking and PSU Bond Fund-Reg(G), Debt - Banking and PSU Fund, Open ended, CRISIL Banking and PSU Debt Index, 10.60,4.42,1.89,-,"5,000.00",0.79,"1,000.00"
1925,JM Overnight Fund-Reg(G), Debt - Overnight Fund, Open ended, CRISIL Overnight Index," 1,128.09",4.97,3.76,-,"5,000.00",0.14,"1,000.00"
1926,Union Medium Duration Fund-Reg(G), Debt - Medium Duration Fund, Open ended, CRISIL Medium Term Debt Index, 10.81,3.90,1.58,-,"1,000.00",0.9,"1,000.00"
1927,Tata Banking & PSU Debt Fund-Reg(IDCW), Debt - Banking and PSU Fund, Open ended, CRISIL Banking and PSU Debt Index, 12.04,4.87,3.05,5.07,"5,000.00",0.72,"1,000.00"
1928,SBI CPO Fund-A-7-Reg(G), Capital Protection, Close ended, CRISIL Hybrid 85+15 - Conservative Index, 12.13,3.16,6.59,-,"5,000.00",,N/A
1929,SBI CPO Fund-A-6-Reg(G), Capital Protection, Close ended, CRISIL Hybrid 85+15 - Conservative Index, 12.60,3.19,6.51,-,"5,000.00",,N/A
1930,ICICI Pru Global Advantage Fund(FOF)(IDCW), FoFs (Overseas), Open ended, N/A, 13.08,-2.78,4.25,-,"1,000.00",1.39,"1,000.00"
1931,Axis Nifty 100 Index Fund-Reg(IDCW), Index Funds - Other, Open ended, NIFTY 100 - TRI, 15.07,1.53,13.34,-,"1,000.00",1,"1,000.00"
1932,Motilal Oswal Large & Midcap Fund-Reg(IDCW), Equity - Large & Mid Cap Fund, Open ended, NIFTY LargeMidcap 250 - TRI, 16.03,4.17,15.39,-,"1,000.00",2.34,"1,000.00"
1933,ICICI Pru Commodities Fund(IDCW), Equity - Thematic Fund - Other, Open ended, NIFTY COMMODITIES - TRI, 24.38,8.60,37.62,-,"5,000.00",2.67,"1,000.00"
1934,Baroda BNP Paribas Large & Mid Cap Fund-Reg(G), Equity - Large & Mid Cap Fund, Open ended, S&P BSE 250 LargeMidCap Index - TRI, 16.68,2.14,-,-,"5,000.00",2.48,"1,000.00"
1935,Mahindra Manulife Ultra Short Term Fund-Reg(DD-IDCW), Debt - Ultra Short Duration Fund, Open ended, CRISIL Ultra Short Term Debt Index," 1,037.57",5.81,4.90,4.46,"1,000.00",0.77,"1,000.00"
1936,Mahindra Manulife Ultra Short Term Fund-Reg(W-IDCW), Debt - Ultra Short Duration Fund, Open ended, CRISIL Ultra Short Term Debt Index," 1,001.15",5.75,4.76,4.31,"1,000.00",0.77,"1,000.00"
1937,ITI Overnight Fund-Reg(G), Debt - Overnight Fund, Open ended, CRISIL Overnight Index," 1,129.90",4.83,3.64,-,"5,000.00",0.18,"1,000.00"
1938,ITI Overnight Fund-Reg(DD-IDCW), Debt - Overnight Fund, Open ended, CRISIL Overnight Index," 1,001.00",4.82,5.35,-,"5,000.00",0.18,"1,000.00"
1939,ITI Overnight Fund-Reg(W-IDCW), Debt - Overnight Fund, Open ended, CRISIL Overnight Index," 1,001.33",5.72,5.92,-,"5,000.00",0.18,"1,000.00"
